GO	term	class	p	p_corr	n_genes	n_study	n_go	study_genes	per	class_label
GO:0051918	negative regulation of fibrinolysis	biological_process	4.3084295409819697e-05	0.0021023887339835204	8	4582	9	['APOH', 'SERPINF2', 'F2', 'HRG', 'THBD', 'THBS1', 'PLG', 'SERPINE1']	0.8888888888888888	Biological Process
GO:0006002	fructose 6-phosphate metabolic process	biological_process	4.3084295409819697e-05	0.0021023887339835204	8	4582	9	['PFKL', 'FBP1', 'GFPT1', 'PFKM', 'HK1', 'HK2', 'HK3', 'PFKP']	0.8888888888888888	Biological Process
GO:0010595	positive regulation of endothelial cell migration	biological_process	4.379762732255723e-05	0.0021269222768516855	27	4582	62	['GPI', 'GPLD1', 'THBS1', 'FLT4', 'SPARC', 'ANGPT1', 'EGF', 'PDCD6', 'BSG', 'CALR', 'ANXA3', 'ANGPT4', 'AGT', 'EMC10', 'PRKCA', 'AKT1', 'GRN', 'KDR', 'RRAS', 'SMOC2', 'GFUS', 'TEK', 'ITGB3', 'RAC1', 'NRP2', 'NRP1', 'VEGFA']	0.43548387096774194	Biological Process
GO:0006006	glucose metabolic process	biological_process	4.481397670949401e-05	0.0021658659269980815	17	4582	30	['GALM', 'HK1', 'HK2', 'G6PD', 'DCXR', 'ADPGK', 'PCK1', 'H6PD', 'FBN3', 'GAA', 'PGM1', 'FBN1', 'FBN2', 'ADIPOQ', 'APOD', 'SORD', 'HK3']	0.5666666666666667	Biological Process
GO:0071222	cellular response to lipopolysaccharide	biological_process	4.578040206443865e-05	0.002202037339299499	44	4582	122	['RHOA', 'GSTP1', 'VIM', 'IL18', 'MAPK14', 'PLAA', 'CCL28', 'BPI', 'CD14', 'GIT1', 'PABPN1', 'AXL', 'CD86', 'CTR9', 'LILRB2', 'ADAM9', 'SHPK', 'PYCARD', 'CHMP5', 'B2M', 'SERPINE1', 'CD68', 'HMGB1', 'CCL2', 'HMGB2', 'PF4', 'PF4V1', 'UPF1', 'LBP', 'MMP3', 'LY96', 'MMP8', 'MMP9', 'TNFRSF1B', 'PPBP', 'CCL27', 'CXCL5', 'CTSG', 'LILRB1', 'IL36G', 'IL6', 'PDCD4', 'CD200', 'PDCD1LG2']	0.36065573770491804	Biological Process
GO:2000048	negative regulation of cell-cell adhesion mediated by cadherin	biological_process	4.668295367620152e-05	0.002203479042445381	9	4582	11	['TGFB1', 'EPCAM', 'BMP6', 'PPM1F', 'NOTCH1', 'NOTCH4', 'RGCC', 'PLG', 'VEGFA']	0.8181818181818182	Biological Process
GO:0010572	positive regulation of platelet activation	biological_process	4.668295367620152e-05	0.002203479042445381	9	4582	11	['SELP', 'PLA2G4A', 'SVEP1', 'PEAR1', 'GP1BA', 'GP1BB', 'PLEK', 'GP5', 'GP9']	0.8181818181818182	Biological Process
GO:0002183	cytoplasmic translational initiation	biological_process	4.668295367620152e-05	0.002203479042445381	9	4582	11	['EIF2B1', 'EIF2S3', 'EIF3M', 'EIF3I', 'EIF4A1', 'EIF4A2', 'EIF2B3', 'EIF2B2', 'EIF2S2']	0.8181818181818182	Biological Process
GO:0042542	response to hydrogen peroxide	biological_process	4.668295367620152e-05	0.002203479042445381	9	4582	11	['HBB', 'SOD1', 'HP', 'CAT', 'ADAM9', 'PRDX3', 'HMOX1', 'GPX1', 'HBA1']	0.8181818181818182	Biological Process
GO:0042742	defense response to bacterium	biological_process	4.7871762145532445e-05	0.002249082183404759	40	4582	102	['MPO', 'S100A8', 'DEFB1', 'S100A9', 'S100A12', 'COLEC12', 'STAB2', 'NAGK', 'FCER2', 'MAVS', 'ISG15', 'SPN', 'DCD', 'SFTPD', 'GSDMD', 'ANXA3', 'CAMP', 'LPO', 'S100A14', 'MBL2', 'ZG16B', 'SHC1', 'LALBA', 'SYK', 'ELANE', 'GBP1', 'RNF213', 'PRKCD', 'GSDMA', 'CFP', 'GNLY', 'LACRT', 'CHGA', 'HAMP', 'LCN2', 'EPX', 'LYZ', 'RAB1A', 'WFDC12', 'STAB1']	0.39215686274509803	Biological Process
GO:0070328	triglyceride homeostasis	biological_process	5.0986052499454304e-05	0.002362431726132972	15	4582	29	['ANGPTL3', 'ANGPTL8', 'APOA5', 'PLA2G12B', 'APOA1', 'CETP', 'LPL', 'APOC1', 'IL18', 'LIPC', 'APOC2', 'APOC3', 'APOC4', 'ANGPTL4', 'APOE']	0.5172413793103449	Biological Process
GO:0002548	monocyte chemotaxis	biological_process	5.0986052499454304e-05	0.002362431726132972	15	4582	25	['PDGFB', 'CTSG', 'S100A12', 'PF4', 'ANXA1', 'CCL2', 'RPS19', 'CCL5', 'FLT1', 'IL6', 'IL6R', 'CXCL17', 'LGALS3', 'CALCA', 'MSMP']	0.6	Biological Process
GO:0003009	skeletal muscle contraction	biological_process	5.0986052499454304e-05	0.002362431726132972	15	4582	25	['TNNI2', 'TNNI3', 'JSRP1', 'TNNT1', 'TNNT3', 'MYH14', 'MYH3', 'TCAP', 'RCSD1', 'MYH7', 'MYH8', 'TNNC2', 'MB', 'TNNC1', 'TNNI1']	0.6	Biological Process
